date,ticker,momentum,trend,mean_reversion,breakout,volume,rel_strength,news,score,ml_prob,price_eur
2026-09-24,LDO.MI,-0.3351,-0.7578,0.0,0.0,0.0,-0.4156,0.0,-0.54,0.563,49.38
2026-09-24,LTMC.MI,0.1165,0.7907,0.0,0.0,0.0,0.3813,0.415,0.541,0.495,26.6
2026-09-24,MB.MI,0.5154,0.972,0.0,0.0,0.0,0.431,0.0,0.657,0.532,29.01
2026-09-24,MONC.MI,-0.6801,-0.826,0.0,0.0,0.0,-0.4668,0.0,-0.601,0.539,44.19
2026-09-24,NEXI.MI,0.6287,0.2741,0.0,0.0,0.0,-0.329,0.0,0.271,0.531,4.181
2026-09-24,PIRC.MI,-0.2054,0.1354,0.0,0.0,0.0,-0.1185,0.094,0.079,0.538,6.47
2026-09-24,PST.MI,-0.4652,0.1591,0.0,0.0,0.0,-0.4004,0.096,0.067,0.563,26.0
2026-09-24,PRY.MI,-0.4315,0.7214,0.0,0.0,0.0,0.3022,0.0,0.456,0.502,125.5
2026-09-24,REC.MI,0.6297,0.7351,0.0,0.0,0.0,0.1381,0.0,0.553,0.484,53.0
2026-09-24,SPM.MI,-0.1183,0.2341,0.0,0.0,0.0,-0.1811,0.0,0.161,0.541,4.313
2026-09-24,SRG.MI,-0.7564,-0.7213,0.0,0.0,0.0,-0.1481,0.0,-0.556,0.499,5.618
2026-09-24,STLAM.MI,-0.6007,-0.9806,0.0,-0.0,0.0,-0.8049,-0.071,-0.665,0.542,3.9795
2026-09-24,STMMI.MI,-0.7051,0.8042,0.0,0.0,0.0,0.495,0.097,0.479,0.45,45.72
2026-09-24,TIT.MI,-0.3522,0.1845,0.0,0.0,0.0,-0.2473,0.42,0.099,0.56,7.474
2026-09-24,TEN.MI,0.1459,0.712,0.0,0.0,0.0,0.4365,0.0,0.501,0.527,24.35
2026-09-24,TRN.MI,-0.6569,-0.0723,0.0,0.0,0.0,-0.3413,0.0,-0.128,0.54,9.248
2026-09-24,UCG.MI,0.1578,0.8426,0.0,0.0,0.0,0.0282,0.44,0.572,0.532,84.1
2026-09-24,UNI.MI,0.184,0.3157,0.0,0.0,0.0,-0.2436,0.0,0.253,0.562,27.28
2026-09-24,SPY,0.375,0.7415,0.0,0.0,0.0,0.0,0.314,0.537,0.547,672.3565
2026-09-24,QQQ,0.0644,0.8104,0.0,0.0,0.0,0.3019,-0.63,0.548,0.539,649.5
2026-09-24,IWM,-0.5895,0.0537,0.0,-0.5566,0.0,-0.4413,-0.294,-0.027,0.477,246.8468
2026-09-24,VGK,0.0311,0.041,0.0,-0.9938,0.8403,-0.4251,0.0,0.034,0.459,77.1845
2026-09-24,EEM,-0.0184,0.7507,0.0,0.0,0.0,-0.0332,0.0,0.509,0.519,58.9379
2026-09-24,EWJ,0.2518,0.7356,0.0,0.0,0.0,-0.0181,0.249,0.523,0.519,83.9679
2026-09-24,GLD,0.3751,-0.7153,0.0,0.0,0.0,-0.5328,-0.167,-0.457,0.507,343.2771
2026-09-24,SLV,0.2671,-0.2233,0.0,0.0,0.0,-0.4983,0.0,-0.137,0.483,50.4982
2026-09-24,TLT,-0.761,-0.7119,0.0,-0.8757,-0.2019,-0.3582,-0.216,-0.552,0.45,69.6037
2026-09-24,HYG,-0.4148,-0.0085,0.0101,-0.9126,-0.3172,-0.1913,0.0,-0.056,0.432,68.2628
2026-09-24,XLK,0.324,0.9012,0.0,0.0,0.0,0.4988,-0.003,0.612,0.533,170.6438
2026-09-24,XLF,0.22,0.0456,0.0,-0.0632,0.0,-0.4754,0.019,0.059,0.484,47.7901
2026-09-24,XLE,0.8596,0.8301,0.0,0.0,0.0,0.0381,0.444,0.617,0.524,54.8626
2026-09-24,XLV,0.557,0.7801,0.0,0.0,0.0,-0.2457,0.036,0.571,0.524,148.8741
2026-09-24,XLI,-0.661,-0.0247,0.0,0.0,0.0,-0.4153,0.38,-0.094,0.444,147.9626
2026-09-24,XLY,-0.4577,-0.6994,0.0,0.0,0.0,-0.4886,-0.549,-0.521,0.463,96.6844
2026-09-24,XLP,-0.3276,-0.0196,0.0,-0.391,0.0,-0.4046,-0.345,-0.053,0.426,71.6019
2026-09-24,XLU,-0.8758,-0.7889,0.3439,-0.4841,0.0,-0.6103,-0.106,-0.624,0.471,34.4951
2026-09-25,AAPL,0.772,0.893,0.0,0.0,0.0,0.5725,0.579,0.639,0.529,299.3913
2026-09-25,ABBV,0.4605,0.8627,0.0,0.0,0.0,0.1678,0.367,0.604,0.531,232.0377
2026-09-25,ABT,0.6745,-0.0466,0.0,0.0,0.0,-0.6416,-0.194,0.042,0.5,88.9124
2026-09-25,ACN,0.8365,-0.1827,0.0,-0.3147,0.0,-0.465,0.243,-0.042,0.471,154.5894
2026-09-25,ADBE,0.3763,-0.7905,0.0,-0.0,0.0,-0.9065,-0.104,-0.5,0.516,206.6956
2026-09-25,AIG,-0.2618,-0.0562,0.0,0.0,0.0,-0.2241,0.099,-0.072,0.498,65.1064
2026-09-25,AMD,0.4013,0.9995,-0.1498,0.0152,0.0,0.9882,0.286,0.67,0.49,553.567
2026-09-25,AMGN,0.4571,0.862,0.0,0.0,0.0,-0.4071,0.249,0.603,0.492,363.9446
2026-09-25,AMT,0.1141,-0.6713,0.0,0.0,0.0,-0.2525,0.146,-0.455,0.487,148.3745
2026-09-25,AMZN,0.1697,0.0725,0.0,0.0,0.0,-0.2243,0.184,0.074,0.509,219.1603
2026-09-25,AVGO,-0.1996,-0.0766,0.0,0.0,0.0,-0.3901,0.129,-0.08,0.516,309.6966
2026-09-25,AXP,-0.616,-0.7386,0.0,0.0,0.0,-0.5563,0.323,-0.553,0.509,271.1437
2026-09-25,BA,-0.4949,-0.7912,0.0,0.0,0.0,-0.4406,0.404,-0.571,0.502,173.8659
2026-09-25,BAC,-0.1313,0.0689,0.0,0.0,0.0,-0.5148,-0.448,0.038,0.552,49.7713
2026-09-25,BKNG,-0.3403,-0.1917,0.0,0.0,0.0,-0.9107,0.267,-0.18,0.535,143.9153
2026-09-25,BLK,0.584,0.0665,0.0,0.0,0.0,-0.4938,0.117,0.116,0.517,953.563
2026-09-25,BMY,0.7455,0.1453,0.0,0.0,0.0,-0.4709,0.492,0.192,0.549,55.1785
2026-09-25,BRK-B,0.1417,0.0518,0.0,0.0,0.0,0.0058,0.014,0.054,0.456,443.7104
2026-09-25,C,-0.2401,0.7489,0.0,0.0,0.0,0.0739,0.28,0.489,0.514,117.871
2026-09-25,CAT,-0.7239,0.0847,0.0,0.0,0.0,0.0224,0.56,-0.019,0.51,721.1829
2026-09-25,CHTR,-0.4034,-0.9794,0.008,-0.2107,0.0,-0.9589,-0.258,-0.653,0.507,99.1124
2026-09-25,CL,-0.6231,-0.0352,0.0,0.0,0.0,-0.4247,0.483,-0.097,0.523,75.5435
